Call ID,Date/Time (earliest),Duration,Initial Direction,Inbound,Outbound,Answered,Missed,,
8f4f76f6-f00c-497f-b377-93ddca89703f,9/3/25 11:38,0:02:27,inbound,3,0,3,0,,
57453a86-fa0d-4c92-9512-7382c481a17f,9/3/25 11:33,0:01:03,inbound,2,0,1,1,,
7c96eb96-d8c4-48e4-a677-3bc6c3a7a95a,9/3/25 11:33,0:01:31,inbound,4,0,2,1,,
2dd5c803-5411-4ffe-b545-d3af0ef34883,9/3/25 11:32,0:00:39,inbound,4,0,3,0,,
f29a1144-49c3-4cd1-8d98-990f94ef120e,9/3/25 11:26,0:09:41,outbound,0,1,1,0,,
e2350161-5378-4881-aa2b-ec00cda7c061,9/3/25 11:03,0:11:59,outbound,0,1,1,0,,
3c06da51-38a0-4cb5-aa0a-562b4d40c862,9/3/25 10:56,0:00:24,inbound,1,0,1,0,,
15bbf5ab-6871-459d-b0f7-bd11a26c2676,9/3/25 10:54,0:02:30,inbound,3,0,3,0,,
999-888-777,9/6/25 10:54,11:02:30,inbound,3,0,3,0,, 
888-777-999,9/6/25 10:54,11:02:30,inbound,3,0,3,0,,
555-666-777,9/6/25 10:54,11:02:30,inbound,3,0,3,0,,